playerID,playerName,byeWeek,passingAtt,passingCmp,passingYds,passingTD,passingInt,passing2pt,rushingAtt,rushingYds,rushingTD,rushing2pt,receivingRec,receivingYds,receivingTD,receiving2pt,fumbleLost,fumbleTD
368,Ronnie Rivers,6,0,0,0,0,0,0,22,99,0,0,5,34,0,0,0,0
369,Trent Sherfield,6,0,0,0,0,0,0,0,0,0,0,8,83,1,0,0,0
370,Will Shipley,5,0,0,0,0,0,0,30,82,0,0,4,35,0,0,0,0
371,Kenny Yeboah,12,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
372,Daniel Bellinger,11,0,0,0,0,0,0,0,0,0,0,14,125,0,0,0,0
373,Jermaine Burton,12,0,0,0,0,0,0,0,0,0,0,4,107,0,0,0,0
374,Simi Fehoko,5,0,0,0,0,0,0,0,0,0,0,6,106,0,0,0,0
375,Hunter Luepke,7,0,0,0,0,0,0,12,38,0,0,12,111,0,0,0,0
376,Davis Mills,14,36,20,212,0,0,0,3,11,0,0,0,0,0,0,0,0
377,Quintin Morris,12,0,0,0,0,0,0,0,0,0,0,5,36,1,0,0,0
378,MyCole Pruitt,9,0,0,0,0,0,0,0,0,0,0,6,40,1,0,0,0
379,Ainias Smith,5,0,0,0,0,0,0,2,6,0,0,7,41,1,0,0,0
380,Blake Whiteheart,10,0,0,0,0,0,0,0,0,0,0,6,51,1,0,0,0
381,Brandon Allen,9,30,17,199,1,2,0,3,4,0,0,0,0,0,0,1,0
382,Marquise Brown,6,0,0,0,0,0,0,0,0,0,0,9,91,0,0,0,0
383,Parris Campbell,5,0,0,0,0,0,0,0,0,0,0,6,30,1,0,0,0
384,Julius Chestnut,5,0,0,0,0,0,0,22,102,0,0,2,11,0,0,0,0
385,Devin Culp,11,0,0,0,0,0,0,0,0,0,0,5,88,0,0,0,0
386,C.J. Ham,6,0,0,0,0,0,0,2,10,1,0,5,35,0,0,1,0
387,Connor Heyward,9,0,0,0,0,0,0,0,0,0,0,6,40,1,0,0,0
388,Xavier Hutchinson,14,0,0,0,0,0,0,0,0,0,0,12,117,0,0,0,0
389,Chris Manhertz,11,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
390,Bo Melton,10,0,0,0,0,0,0,8,54,0,0,8,91,0,0,0,0
391,Jalen Reagor,5,0,0,0,0,0,0,3,-3,0,0,7,100,0,0,1,0
392,Brevyn Spann-Ford,7,0,0,0,0,0,0,0,0,0,0,9,88,0,0,0,0
393,Devontez Walker,14,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0
394,Johnny Wilson,5,0,0,0,0,0,0,0,0,0,0,5,38,1,0,0,0
395,Bailey Zappe,10,31,16,170,1,2,0,2,2,0,0,0,0,0,0,0,0
396,Tyler Badie,14,0,0,0,0,0,0,11,86,0,0,3,-2,0,0,1,0
397,Raheem Blackshear,11,0,0,0,0,0,0,15,80,0,0,0,0,0,0,0,0
398,Harrison Bryant,10,0,0,0,0,0,0,0,0,0,0,9,86,0,0,0,0
399,D.J. Chark,5,0,0,0,0,0,0,0,0,0,0,4,31,1,0,0,0
400,Jacob Cowing,9,0,0,0,0,0,0,1,7,0,0,4,80,0,0,1,0
401,Ryan Flournoy,7,0,0,0,0,0,0,0,0,0,0,10,102,0,0,1,0
402,Xavier Gipson,12,0,0,0,0,0,0,1,5,0,0,6,39,1,0,1,0
403,Bryce Oliver,5,0,0,0,0,0,0,0,0,0,0,6,95,0,0,0,0
404,Ben Sinnott,14,0,0,0,0,0,0,0,0,0,0,5,28,1,0,0,0
405,Skylar Thompson,6,33,21,187,0,0,0,1,4,0,0,0,0,0,0,0,0
406,Mason Tipton,12,0,0,0,0,0,0,0,0,0,0,14,99,0,0,0,0
407,Kristian Wilkerson,10,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0
408,Chris Conley,9,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0
409,Devin Duvernay,12,0,0,0,0,0,0,4,3,0,0,11,79,0,0,0,0
410,Clyde Edwards-Helaire,12,0,0,0,0,0,0,13,46,0,0,3,24,0,0,0,0
411,Julian Hill,6,0,0,0,0,0,0,0,0,0,0,12,100,0,0,0,0
412,E.J. Jenkins,5,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
413,Zay Jones,11,0,0,0,0,0,0,0,0,0,0,8,84,0,0,0,0
414,Scott Miller,9,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
415,Jeremy Ruckert,12,0,0,0,0,0,0,0,0,0,0,18,105,0,0,0,0
416,Keaton Mitchell,14,0,0,0,0,0,0,15,30,0,0,1,28,0,0,0,0
417,Ben Skowronek,9,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
418,Deuce Vaughn,7,0,0,0,0,0,0,17,70,0,0,3,18,0,0,0,0
419,Jeffery Wilson,6,0,0,0,0,0,0,16,57,0,0,3,19,0,0,0,0
420,Michael Woods,10,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0
421,John Bates,14,0,0,0,0,0,0,0,0,0,0,8,84,0,0,1,0
422,DeAndre Carter,7,0,0,0,0,0,0,0,0,0,0,9,72,0,0,1,0
423,River Cracraft,6,0,0,0,0,0,0,0,0,0,0,7,66,0,0,0,0
424,Eric Gray,11,0,0,0,0,0,0,14,31,0,0,10,82,0,0,2,0
425,Hayden Hurst,5,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,0
426,Tim Jones,12,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
427,Brandon Powell,6,0,0,0,0,0,0,0,0,0,0,7,71,0,0,0,0
428,Nikko Remigio,6,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0
429,Tyquan Thornton,6,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
430,Cody White,10,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
431,Rasheen Ali,14,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0
432,Davis Allen,6,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0
433,Alex Bachman,10,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
434,Odell Beckham Jr.,6,0,0,0,0,0,0,0,0,0,0,9,55,0,0,0,0
435,Mike Boone,11,0,0,0,0,0,0,13,51,0,0,1,-2,0,0,0,0
436,Jonathon Brooks,11,0,0,0,0,0,0,9,22,0,0,3,23,0,0,0,0
437,Britain Covey,5,0,0,0,0,0,0,0,0,0,0,7,34,0,0,0,0
438,D'Wayne Eskridge,6,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
439,Luke Farrell,12,0,0,0,0,0,0,0,0,0,0,12,67,0,0,0,0
440,Peyton Hendershot,6,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
441,Jalin Hyatt,11,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0
442,Terrell Jennings,14,0,0,0,0,0,0,13,33,0,0,0,0,0,0,0,0
443,Jacob Kibodi,10,0,0,0,0,0,0,5,24,0,0,1,15,0,0,0,0
444,Hunter Long,6,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
445,Ben Sims,10,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
446,Xavier Smith,6,0,0,0,0,0,0,4,36,0,0,2,6,0,0,0,0
447,J.J. Taylor,14,0,0,0,0,0,0,10,44,0,0,2,0,0,0,0,0
448,Austin Trammell,12,0,0,0,0,0,0,0,0,0,0,2,40,0,0,1,0
449,Sione Vaki,5,0,0,0,0,0,0,6,14,0,0,3,37,0,0,0,0
450,Carson Wentz,6,19,12,118,0,0,0,3,0,0,0,0,0,0,0,0,0
451,David Bell,10,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
452,Ronnie Bell,9,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
453,Treylon Burks,5,0,0,0,0,0,0,2,1,0,0,4,34,0,0,0,0
454,Dan Chisena,11,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
455,Dalvin Cook,7,0,0,0,0,0,0,8,20,0,0,1,10,0,0,0,0
456,Greg Dulcich,11,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0
457,Gerald Everett,7,0,0,0,0,0,0,0,0,0,0,8,36,0,0,0,0
458,Anthony Gould,14,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
459,Dallin Holker,12,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
460,Travis Homer,7,0,0,0,0,0,0,6,23,0,0,3,11,0,0,0,0
461,Jermar Jefferson,5,0,0,0,0,0,0,6,22,0,0,1,10,0,0,0,0
462,Terrace Marshall,10,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
463,Jase McClellan,12,0,0,0,0,0,0,13,32,0,0,0,0,0,0,0,0
464,Luke Musgrave,10,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0
465,Allen Robinson,5,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
466,Jamari Thrash,10,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
467,Blake Watson,14,0,0,0,0,0,0,4,10,0,0,1,13,0,0,0,0
468,Charlie Woerner,12,0,0,0,0,0,0,0,0,0,0,7,46,0,0,0,0
469,Shane Zylstra,5,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
470,Javon Baker,14,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
471,Jaheim Bell,14,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
472,Chris Blair,12,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
473,Pharaoh Brown,10,0,0,0,0,0,0,0,0,0,0,8,65,0,0,1,0
474,Tanner Conner,6,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
475,Malachi Corley,12,0,0,0,0,0,0,2,26,0,0,3,16,0,0,1,0
476,Grant DuBose,6,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
477,Tucker Fisk,5,0,0,0,0,0,0,0,0,0,0,7,39,0,0,0,0
478,Feleipe Franks,11,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
479,Myles Gaskin,12,0,0,0,0,0,0,3,-1,0,0,1,11,0,0,0,0
480,Cam Grandy,12,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0
481,Taylor Heinicke,5,5,3,28,0,0,0,2,20,0,0,0,0,0,0,0,0
482,George Holani,10,0,0,0,0,0,0,3,10,0,0,1,-1,0,0,0,0
483,Hendon Hooker,5,9,6,62,0,0,0,5,2,0,0,0,0,0,0,0,0
484,Kameron Johnson,11,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
485,Mason Kinsey,5,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
486,MarShawn Lloyd,10,0,0,0,0,0,0,6,15,0,0,1,3,0,0,0,0
487,Will Mallory,14,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
488,Scott Matlock,5,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
